English,Chinese,Status,Notes
Auto-fix with new speeds,使用新速度自动修复,✓ Translated,
Auto-recovery from step loss,自动从丢步中恢复,✓ Translated,
"Automatically re-slice according to the optimal filament grouping, and the grouping results will be displayed after slicing.",将会自动根据最优耗材分组重新切片，分组结果将会在切片后展示。,✓ Translated,
Automatically tune speed and extrusion without manual tweaking.,自动调整速度和挤出，无需手动调参。,✓ Translated,
Average Improvement,平均优化效果,✓ Translated,
"Avoid warping
Did you know that when printing materials that are prone to warping such as ABS, appropriately increasing the heatbed temperature can reduce the probability of warping.","避免翘曲
您知道吗？打印ABS这类易翘曲材料时，适当提高热床温度可以降低翘曲的概率。",✓ Translated,
Backup your project periodically for restoring from the occasional crash.,定期备份您的项目，以便从偶尔的崩溃中恢复过来。,✓ Translated,
Bambu Studio also referenced some ideas from Cura by Ultimaker.,Bambu Studio还参考了Ultimaker的Cura中的一些想法。,✓ Translated,
"Bambu Studio is based on PrusaSlicer by Prusa Research, which is from Slic3r by Alessandro Ranellucci and the RepRap community",Bambu Studio是基于Prusa Research的PrusaSlicer开发的，而PrusaSlicer是基于来自Alessandro Ranellucci和RepRap社区的Slic3r开发的,✓ Translated,
Base pattern,支撑主体图案,✓ Translated,
Base pattern spacing,主体图案线距,✓ Translated,
Bottom surface pattern,底面图案,✓ Translated,
"Calibrate nozzle offsets to enhance print quality.
*Automatic mode: Check for calibration before printing. Skip if unnecessary.","校准不同喷嘴的偏移量，从而提升打印质量。
*自动模式：发起打印前检测是否需要校准，无需校准则跳过校准。",✓ Translated,
"Calibrate nozzle offsets to enhance print quality.
*Automatic mode: Check for calibration before printing; skip if unnecessary.","校准不同喷嘴的偏移量，提升打印质量。
*自动模式：发起打印前检测是否需要校准，无需校准则跳过校准。",✓ Translated,
Cancel,取消,✓ Translated,
Catch issues before printing and improve first-try success.,在打印前发现问题，提高首次打印成功率。,✓ Translated,
Chamber Temperature,腔温,✓ Translated,
Chamber temperature,腔体温度,✓ Translated,
Chamber temperature cannot be changed in cooling mode while printing.,打印过程中，冷却模式下无法调节腔温。,✓ Translated,
Change SVG Type,改变SVG类型,✓ Translated,
Check Assistant,前往机器助手,✓ Translated,
Choose a Reference Material,选择参考材料,✓ Translated,
Choose a file to import bed texture from (PNG/SVG):,选择 (PNG/SVG) 文件作为热床纹理：,✓ Translated,
Click OK to update the Network plug-in when Bambu Studio launches next time.,点击“确认”，将在Bambu Studio下次启动之后自动升级网络插件,✓ Translated,
Click Wiki for help.,点击Wiki寻求帮助。,✓ Translated,
Click for more details,点击查看更多详情,✓ Translated,
Click the Optimize/Enhance button to start your first optimization.,点击优化/增强按钮开始您的首次优化。,✓ Translated,
Click to download new version in default browser: %s,在默认浏览器中点击下载最新版本: %s,✓ Translated,
Click to view the wiki of the current plate type,点击查看当前热床类型的wiki,✓ Translated,
Comfirm Save As,确认另存为,✓ Translated,
"Compared with the default profile of a 0.2 mm nozzle, it has a smaller layer lines, lower speeds and acceleration, and the sparse infill pattern is Gyroid. So, it results in almost invisible layer lines and much higher printing quality, but much longer printing time.",此为高质量参数，相比于此喷嘴的默认参数，层高较小，打印速度、加速度较低，稀疏填充图案为螺旋体，几乎不显层纹，打印质量非常高，但打印耗时很长。,✓ Translated,
"Compared with the default profile of a 0.2 mm nozzle, it has a smaller layer lines, lower speeds and acceleration, and the sparse infill pattern is Gyroid. So, it results in minimal layer lines and much higher printing quality, but much longer printing time.",此为高质量参数，相比于此喷嘴的默认参数，层高较小，打印速度、加速度较低，稀疏填充图案为螺旋体，几乎不显层纹，打印质量非常高，但打印耗时很长。,✓ Translated,
"Compared with the default profile of a 0.2 mm nozzle, it has lower speeds and acceleration, and the sparse infill pattern is Gyroid. So, it results in much higher printing quality, but a much longer printing time.",此为高质量参数，相比于此喷嘴的默认参数，打印速度、加速度较低，稀疏填充图案为螺旋体，打印质量更高，但耗时更长。,✓ Translated,
"Compared with the default profile of a 0.4 mm nozzle, it has a smaller layer height, lower speeds and acceleration, and the sparse infill pattern is Gyroid. So, it results in almost negligible layer lines and much higher printing quality, but much longer printing time.",此为高质量参数，相比于此喷嘴的默认参数，层高较小，打印速度、加速度较低，稀疏填充图案为螺旋体，层纹更不明显，打印质量很高，但打印耗时很长。,✓ Translated,
"Compared with the default profile of a 0.4 mm nozzle, it has a smaller layer height, lower speeds and acceleration, and the sparse infill pattern is Gyroid. So, it results in less apparent layer lines and much higher printing quality, but much longer printing time.",此为高质量参数，相比于此喷嘴的默认参数，层高较小，打印速度、加速度较低，稀疏填充图案为螺旋体，层纹较不明显，打印质量较高，但打印耗时很长。,✓ Translated,
Compatible machine,兼容的机器,✓ Translated,
Compatible machine condition,兼容的机器的条件,✓ Translated,
Compatible process profiles,兼容的切片配置,✓ Translated,
Compatible process profiles condition,兼容的切片配置的条件,✓ Translated,
Configuration incompatible,配置不兼容,✓ Translated,
Confirm,确定,✓ Translated,
Confirm and Update Nozzle,确认并更新喷嘴,✓ Translated,
Conflicts of gcode paths have been found at layer %d. Please separate the conflicted objects farther (%s <-> %s).,发现第%d层存在重叠的走线，这可能导致打印失败或打印出来的模型不可用。请将有冲突的对象分得更开。有冲突的对象为%s <-> %s。,✓ Translated,
Connect,连接,✓ Translated,
Connect the printer using IP and access code,使用IP和访问代码连接打印,✓ Translated,
Connecting to printer... The dialog will close later,连接打印机中… 对话框稍后将自动关闭。,✓ Translated,
Connection failed! Please refer to the wiki page.,连接失败！请参考wiki页面,✓ Translated,
"Connection failed, please double check IP and Access Code",连接失败，请再次检查IP地址和访问码。,✓ Translated,
Consistency Improvement,一致性优化效果,✓ Translated,
Convert from inch,从英寸转换,✓ Translated,
Convert from meter,从米转换,✓ Translated,
Copy,复制,✓ Translated,
Copy PAT,复制 PAT,✓ Translated,
Copy preset from filament,从材料中复制预设,✓ Translated,
Copy successful!,复制成功！,✓ Translated,
Create from Template,基于模板创建,✓ Translated,
"Current chamber temperature is higher than the material's safe temperature,it may result in material softening and clogging.The maximum safe temperature for the material is %d",当前腔体温度高于材料的安全温度，这可能导致材料软化和堵塞。该材料的最高安全温度为 %d。,✓ Translated,
"Cut Warping on ASA/ABS and other advanced materials
Warping ruins long jobs. Helio shows where risk is highest before you print, and, with enhance, cuts the risk of warping to almost nil.","减少ASA/ABS及其他高级材料的翘曲
翘曲会毁掉长时间的打印。Helio在打印前显示风险最高的位置，通过增强功能将翘曲风险降至几乎为零。",✓ Translated,
Decide which overhang part join the cooling function to slow down the speed.Expressed as percentage which indicides how much width of the line without support from lower layer. 100% means forcing cooling for all outer wall no matter how much overhang degree,决定多少阈值的悬垂参与冷却降速.用百分比表示超出线宽的范围。,✓ Translated,
Delete connector from object which is a part of cut,删除的连接件属于切割对象的一部分,✓ Translated,
Delete negative volume from object which is a part of cut,删除的负体积属于切割对象的一部分,✓ Translated,
Delete selected files from printer.,从打印机中删除选中的文件。,✓ Translated,
Delete solid part from object which is a part of cut,删除的实体属于切割对象的一部分,✓ Translated,
Describe how long the nozzle will move along the last path when retracting,表示回抽时擦拭的移动距离。,✓ Translated,
Designed to help prints succeed — even if you're new to 3D printing.,帮助打印成功——即使您是3D打印新手。,✓ Translated,
Detect overhang paths in vertical shells and slow them by bridge speed.,识别斜面填充中的悬空路径，并使用桥接速度降速。,✓ Translated,
"Different types of supports
Did you know that you can choose from multiple types of supports? Tree supports work great for organic models, while saving filament and improving print speed. Check them out!","支撑类型
您知道吗？有多种可选的支撑类型，树状支撑非常适合人物/动物模型，同时可以节省耗材并提高打印速度。试试看！",✓ Translated,
Distance from model to the outermost brim line,从模型到最外圈brim走线的距离,✓ Translated,
Distance from skirt to brim or object,从skirt到模型或者brim的距离,✓ Translated,
"Distance of the 0,0 G-code coordinate from the front left corner of the rectangle.","G-code 0,0 坐标相对于矩形框左前角的距离。",✓ Translated,
"Do not run any validity checks, such as gcode path conflicts check.",不要运行任何有效性检查，如gcode路径冲突检查。,✓ Translated,
Do you want to delete the file '%s' from printer?,您确定要从打印机中删除文件'%s'吗？,✓ Translated,
"Do you want to save changes to ""%1%""?",是否保存修改到“%1%”？,✓ Translated,
Do you want to save the changes ?,是否保存当前更改？,✓ Translated,
"Do you want to synchronize your personal data from Bambu Cloud? 
It contains the following information:
1. The Process presets
2. The Filament presets
3. The Printer presets","是否从Bambu云同步如下信息：
1.工艺预设
2.材料预设
3.打印机预设",✓ Translated,
"Don't retract when the travel is in infill area absolutely. That means the oozing can't been seen. This can reduce times of retraction for complex model and save printing time, but make slicing and G-code generating slower",当空驶完全在填充区域内时不触发回抽。这意味着即使漏料也是不可见的。对于复杂模型，该设置能够减少回抽次数以及打印时长，但是会造成G-code生成变慢,✓ Translated,
Don't show again,不再显示,✓ Translated,
Done,完成,✓ Translated,
Download,下载,✓ Translated,
Download selected files from printer.,从打印机中下载选择的文件。,✓ Translated,
Enable Helio Additive,启用 Helio Additive,✓ Translated,
Enable this if printer support air filtration enhancement.,如果打印机支持空气过滤增强，请启用此选项。,✓ Translated,
Enable this to get precise z height of object after slicing. It will get the precise object height by fine-tuning the layer heights of the last few layers. Note that this is an experimental parameter.,开启这个设置，对象在切片后将得到精准的Z高度。它将通过微调对象最后几层的层高来确保对象Z高度精准。注意这是一个实验性参数。,✓ Translated,
Enhance,增强,✓ Translated,
Enhance Speed & Quality,增强速度和质量,✓ Translated,
"Enhancement will only take a few minutes to complete, depending on the size of your object. (A lot of compute is happening in the background) (Formerly referred to as 'Optimize' or 'Optimization')","增强只需几分钟即可完成，具体取决于对象的大小。（后台正在进行大量计算）（原称为""优化""）",✓ Translated,
Ensure seam placement away from overhangs for alignment and backing modes.,接缝避让悬垂附近，对齐模式生效,✓ Translated,
Environment Settings,环境设置,✓ Translated,
Environment Temperature,环境温度,✓ Translated,
"Error:Detecting an incorrect mesh id or an unknown error, regenerating text may result in incorrect outcomes.Please drag text,save it then reedit it again.",错误：检测到不正确的网格id或未知错误，重新生成文本可能会导致不正确的结果。请拖动文本，保存，然后重新编辑。,✓ Translated,
Estimate of improvement in print time before and after enhancement,增强前后打印时间改善的估计,✓ Translated,
Expected Outcome:,预期结果：,✓ Translated,
Expert,专家,✓ Translated,
Export toolpaths as OBJ,将工具路径导出为OBJ格式,✓ Translated,
Failed to connect to printer.,无法连接到打印机,✓ Translated,
Failed to create GCodeV2,无法创建 GCode,✓ Translated,
Failed to fetch model information from printer.,无法从打印机获取模型信息。,✓ Translated,
"Failed to get Helio PAT, Click Refresh to obtain it again.",获取 Helio-PAT 失败，点击刷新重新获取。,✓ Translated,
"Failed to obtain Helio PAT, Click Refresh to obtain it again.",获取 Helio-PAT 失败，点击刷新重新获取。,✓ Translated,
Failed to obtain Helio PAT. The number of issued PATs has reached the upper limit. Please pay attention to the information on the Helio official website. Click Refresh to get it again once it is available.,获取 Helio-PAT 失败。已达到发行 PAT 的上限。请关注 Helio 官方网站的信息。可点击刷新重新获取。,✓ Translated,
"Failed to obtain PAT. The quantity limit has been reached, so it cannot be obtained. Click the refresh button to re-obtain PAT.",获取 Helio-PAT 失败。已达到数量上限，无法再获取。请点击刷新按钮重新获取PAT。,✓ Translated,
Failed to parse response,解析响应失败,✓ Translated,
Failed to publish login request.,发布登录请求失败,✓ Translated,
Failed to receive nozzle auto-mapping table from printer { msg: %s }. Please refresh the printer information.,未能从打印机接收喷嘴自动映射表 {消息：%s}。请刷新打印机信息。,✓ Translated,
"Failed to save gcode file.
Error message: %1%.
Source file %2%.","无法保存Gcode文件。
错误信息：%1%。
源文件 %2%.",✓ Translated,
"Failed to save the project.
Please check whether the folder exists online or if other programs open the project file or if there is enough disk space.","保存项目失败。
请检查目录是否存在，或者其他程序是否打开了项目文件，以及磁盘空间是否足够。",✓ Translated,
"Failed to send. Click Retry to attempt sending again. If retrying does not work, please check the reason.",发送失败。您可以点击“重试”再次发送。如果重试无效，请检查原因。,✓ Translated,
"Faster Prints, Better Quality",更快打印，更好质量,✓ Translated,
Fewer Failed Prints,更少的失败打印,✓ Translated,
"Filament %s is placed in the %s, but the generated G-code path exceeds the printable height of the %s.",材料%s放置在%s中，但生成的G代码路径超过了%s的可打印高度。,✓ Translated,
"Filament %s is placed in the %s, but the generated G-code path exceeds the printable range of the %s.",材料%s放置在%s中，但生成的G代码路径超出了%s的可打印范围。,✓ Translated,
"Filament Extruded, Continue",耗材已挤出，继续,✓ Translated,
"Filament Loaded, Resume",耗材已加载，继续,✓ Translated,
"Filaments %s is placed in the %s, but the generated G-code path exceeds the printable height of the %s.",材料%s放置在%s中，但生成的G代码路径超过了%s的可打印高度。,✓ Translated,
"Filaments %s is placed in the %s, but the generated G-code path exceeds the printable range of the %s.",材料%s放置在%s中，但生成的G代码路径超出了%s的可打印范围。,✓ Translated,
"Finished, Continue",已完成，继续,✓ Translated,
"First-Time-Right Reliability
Less babysitting, more predictable output. Example: a small farm running PETG parts avoids ""fail at hour 6"" surprises and keeps batches on schedule.","首次打印即成功的可靠性
更少看护，更可预测的产出。例如：运行PETG零件的小型生产线避免了「第6小时失败」的意外，保持批量生产按时进行。",✓ Translated,
Fix suggestions,修复建议,✓ Translated,
Fixing cold prints,修复冷打印问题,✓ Translated,
"Flow Rate Calibration measures the ratio of expected to actual extrusion volumes. The default setting works well in Bambu Lab printers and official filaments as they were pre-calibrated and fine-tuned. For a regular filament, you usually won't need to perform a Flow Rate Calibration unless you still see the listed defects after you have done other calibrations. For more details, please check out the wiki article.",流量比例校准测量预期挤出体积与实际挤出体积之间的比率。默认设置在Bambu Lab打印机和官方材料上表现良好，因为它们已经进行了预先校准和微调。对于普通的材料，通常情况下，您不需要执行流量比例校准，除非在完成其他校准后仍然看到上述列出的缺陷。如需更多详细信息，请查阅wiki文章。,✓ Translated,
"Flush into support/objects/infill
Did you know that you can save the wasted filament by flushing them into support/objects/infill during filament change?","冲刷到支持/对象/填充中
您知道吗？您可以在换料时将它们冲入支撑/对象/填充，以节省浪费的料丝。",✓ Translated,
"For more information, please check out Wiki",了解更多信息，请参阅Wiki,✓ Translated,
Force cooling fan to be specific speed when overhang degree of printed part exceeds this value. Expressed as percentage which indicides how much width of the line without support from lower layer. 0% means forcing cooling for all outer wall no matter how much overhang degree,当打印件的悬空程度超过此值时，强制冷却风扇达到特定速度。用百分比表示，表明没有下层支撑的线的宽度是多少。0%%意味着无论悬垂程度如何，都要对所有外壁强制冷却。,✓ Translated,
Formerly referred to as 'Optimize' or 'Optimization',"原称为""优化""",✓ Translated,
Formerly referred to as 'Simulate' or 'Simulation',"原称为""仿真""或""模拟""",✓ Translated,
Free Trial,免费试用,✓ Translated,
Free Trial Expired,免费试用已过期,✓ Translated,
From ,从 ,✓ Translated,
From Volumetric Speed,从体积速度,✓ Translated,
From k Value,起始k值,✓ Translated,
From surface,距表面,✓ Translated,
G-code path is generated after simplifying the contour of model to avoid too many points and gcode lines in the gcode file. Smaller value means higher resolution and more time to slice,为了避免G-code文件中过密集的点和走线，G-code走线通常是在简化模型的外轮廓之后生成。越小的数值代表更高的分辨率，同时需要更长的切片时间。,✓ Translated,
Gcode path overlap,Gcode路径有重叠,✓ Translated,
Generating infill toolpath,正在生成填充走线,✓ Translated,
Get ticket from device timeout,从设备获取ticket超时,✓ Translated,
Get ticket from server timeout,从服务器获取ticket超时,✓ Translated,
Go to our storefront to purchase more enhancements,前往我们的商店购买更多增强功能,✓ Translated,
Got it,知道了,✓ Translated,
"Got it, Turn off the Fire Alarm.",我已知晓，关闭火警警报,✓ Translated,
Great! Now click the Helio button to start optimization.,很好！现在点击 Helio 按钮开始优化。,✓ Translated,
HELIO ADDITIVE,HELIO ADDITIVE,✓ Translated,
Heat is building up in small layers faster than it can dissipate. This may cause sagging or loss of detail in fine features.,热量在小层中积聚的速度超过散热速度。这可能导致精细特征下垂或细节丢失。,✓ Translated,
"Helio API endpoint is empty, please check the configuration.",Helio API 端点为空，请检查配置。,✓ Translated,
Helio Additive,Helio Additive,✓ Translated,
Helio Additive does not change your printer's firmware.,Helio Additive 不会更改您的打印机固件。,✓ Translated,
Helio Additive is now active. You have unlocked free optimizations!,Helio Additive 已激活。您已解锁免费优化！,✓ Translated,
Helio Flowchart,Helio 流程图,✓ Translated,
Helio Material Match Confirmation,Helio 材料匹配确认,✓ Translated,
Helio Printer Match Confirmation,Helio 打印机匹配确认,✓ Translated,
Helio action completed successfully.,Helio操作已成功完成。,✓ Translated,
Helio default (recommended),Helio 默认设置（推荐）,✓ Translated,
Helio does not support materials %s,Helio 不支持材料 %s,✓ Translated,
"Helio does not support materials %s.

Please choose an officially supported material. ","Helio 不支持材料 %s。

请选择官方支持的材料。",✓ Translated,
"Helio found a potential material match using token-based matching:

Your material: %s
Matched material: %s

Do you want to use this match, or would you prefer to rename your material profile?","Helio 通过令牌匹配找到了一个可能的材料匹配：

您的材料：%s
匹配的材料：%s

您想使用此匹配，还是更愿意重命名您的材料配置文件？",✓ Translated,
"Helio found a potential printer match using token-based matching:

Your printer: %s
Matched printer: %s

Do you want to use this match, or would you prefer to rename your printer profile?","Helio 通过令牌匹配找到了一个可能的打印机匹配：

您的打印机：%s
匹配的打印机：%s

您想使用此匹配，还是更愿意重命名您的打印机配置文件？",✓ Translated,
"Helio functions do not support the print sequence of ""ByObject"".",Helio 功能不支持“逐件”的打印顺序。,✓ Translated,
Helio optimization task failed,Helio 优化任务失败,✓ Translated,
Helio simulation task failed,Helio仿真任务失败,✓ Translated,
Helio's advanced feature for power users: available post purchase on its official website.,Helio 的高级功能，面向专业用户：可在官方网站购买后获得。,✓ Translated,
Helio: Failed to create GCode,Helio: 创建GCode失败,✓ Translated,
Helio: Failed to create Optimization,Helio: 创建优化失败,✓ Translated,
Helio: Failed to create Simulation,Helio: 创建仿真失败,✓ Translated,
Helio: GCode created successfully,Helio：G代码已成功创建,✓ Translated,
Helio: GCode download failed,Helio: GCode 下载失败,✓ Translated,
Helio: GCode downloaded successfully,Helio：G代码下载成功,✓ Translated,
Helio: Optimzaion check failed,Helio：优化检查失败,✓ Translated,
Helio: Presigned URL Created,Helio：预签名URL已创建,✓ Translated,
Helio: Simulation check failed,Helio：仿真检测失败,✓ Translated,
Helio: file succesfully uploaded,Helio：文件已成功上传,✓ Translated,
Helio: file upload failed,Helio：文件上传失败,✓ Translated,
Helio: optimization failed,Helio：优化失败,✓ Translated,
Helio: optimization successfully created,Helio：优化创建成功,✓ Translated,
Helio: optimization working,Helio：优化运行中,✓ Translated,
Helio: simulation failed,Helio：仿真失败,✓ Translated,
Helio: simulation successfully created,Helio：仿真创建成功,✓ Translated,
Helio: simulation working,Helio：仿真运行中,✓ Translated,
High,高,✓ Translated,
High chamber temperature is required. Please close the door.,需高腔温打印，请关门。,✓ Translated,
"Higher chamber temperature can help suppress or reduce warping and potentially lead to higher interlayer bonding strength for high temperature materials like ABS, ASA, PC, PA and so on.At the same time, the air filtration of ABS and ASA will get worse.While for PLA, PETG, TPU, PVA and other low temperature materials,the actual chamber temperature should not be high to avoid cloggings, so 0 which stands for turning off is highly recommended",更高的腔温可以帮助抑制或减少翘曲，同时可能会提高高温材料（如ABS、ASA、PC、PA等）的层间粘合强度。与此同时，ABS和ASA的空气过滤性能会变差。而对于PLA、PETG、TPU、PVA等低温材料，为了避免堵塞，实际的腔温不应该过高，因此强烈建议使用0（表示关闭）。,✓ Translated,
IP and Access Code Verified! You may close the window,IP地址和访问码验证成功！您可以关闭此窗口。,✓ Translated,
"If smooth or traditional mode is selected, a timelapse video will be generated for each print. After each layer is printed, a snapshot is taken with the chamber camera. All of these snapshots are composed into a timelapse video when printing completes. If smooth mode is selected, the toolhead will move to the excess chute after each layer is printed and then take a snapshot. Since the melt filament may leak from the nozzle during the process of taking a snapshot, prime tower is required for smooth mode to wipe nozzle.",如果启用平滑模式或者传统模式，将在每次打印时生成延时摄影视频。打印完每层后，将用内置相机拍摄快照。打印完成后，所有这些快照会组合成一个延时视频。如果启用平滑模式，打印完每层后，工具头将移动到吐料槽，然后拍摄快照。由于平滑模式在拍摄快照的过程中熔丝可能会从喷嘴中泄漏，因此需要使用擦拭塔进行喷嘴擦拭。,✓ Translated,
"If the chamber temperature exceeds 40℃, the system will automatically switch to heating mode. Please confirm whether to switch.","如果腔室温度超过40℃, 系统将自动切换到腔温保持模式。请确认是否切换。",✓ Translated,
